Rainfall,Treatment
1202.6,Unseeded
830.1,Unseeded
372.4,Unseeded
345.5,Unseeded
321.2,Unseeded
244.3,Unseeded
163,Unseeded
147.8,Unseeded
95,Unseeded
87,Unseeded
81.2,Unseeded
68.5,Unseeded
47.3,Unseeded
41.1,Unseeded
36.6,Unseeded
29,Unseeded
28.6,Unseeded
26.3,Unseeded
26.1,Unseeded
24.4,Unseeded
21.7,Unseeded
17.3,Unseeded
11.5,Unseeded
4.9,Unseeded
4.9,Unseeded
1,Unseeded
2745.6,Seeded
1697.8,Seeded
1656,Seeded
978,Seeded
703.4,Seeded
489.1,Seeded
430,Seeded
334.1,Seeded
302.8,Seeded
274.7,Seeded
274.7,Seeded
255,Seeded
242.5,Seeded
200.7,Seeded
198.6,Seeded
129.6,Seeded
119,Seeded
118.3,Seeded
115.3,Seeded
92.4,Seeded
40.6,Seeded
32.7,Seeded
31.4,Seeded
17.5,Seeded
7.7,Seeded
4.1,Seeded
