CommonName,Species,Mass,Metab,Life
Echidna,Tachiglossus_aculeatus,2.50,302.00,14
Long-beaked_echidna,Zaglossus_bruijni,10.30,594.00,20
Platypus,Ornithorhynchus_anatinus,1.30,229.00,9
Opossum,Lutreolina_crassicaudata,0.81,196.00,5
South_American_opossum,Didelphis_marsupialis,1.33,299.00,6
Virginia_opossum,Didelphis_virginiana,3.26,519.00,8
Australian_marsupial,Antechinus_macdonnellensis,0.01,9.00,2
Marsupial__,Antechinomus_stuartii,0.00,17.60,2.5
Marsupial,Antechinomus_laniger,0.01,5.17,2
Marsupial_rat,Dasyuroides_byrnei,0.09,37.40,3
Bandicoot,Isodon_macroonurus,1.00,201.00,8
Long-nosed_bandicoot,Perameles_nasuta,0.65,153.00,7
Fat-tailed_dunnart,Sminthopsis_crassicaudata,0.02,9.64,2
Australian_marsupial,Planigale_maculata,0.01,13.70,1.5
Tasmanian_devil,Sacrophilus_harrisii,5.05,628.00,10
Brushtail_possum,Trichosurus_vulpecula,1.98,306.00,8
Kangaroo,Macropus_robustus,4.69,694.00,11
Red_kangaroo,Macropus_rufus,40.00,4000.00,15
Tammar_wallaby,Macropus_eugenii,4.80,671.00,11
Sloth,Bradypus_variegatus,3.79,331.00,19
Armadillo,Dasypus_novemcinctus,3.32,384.00,10
Pangolin,Manis_tricuspis,2.73,440.00,8
Scaly_anteater,Manis_javanica,4.22,529.00,11
Short-tailed_shrew,Blarina_brevicauda,0.02,25.30,1.2
Hamster,Cricetus_cricetus,0.36,112.00,4
Spiny_pocket_mouse,Liomys_salvini,0.04,22.50,2.5
Mexican_mouse,Liomys_irroratus,0.05,26.00,2.5
Mouse,Microtus_minutus,0.01,18.00,0.8
Mouse,Microtus_mexicanus,0.03,22.00,1.5
Golden_mouse,Ochrotomys_nuttalli,0.02,23.80,1.5
Mouse,Mus_musculus,0.02,20.90,1.5
Woodrat,Neotoma_cirenea,0.32,121.00,3.5
Woodrat,Neotoma_lepida,0.14,48.20,3.5
Woodrat,Neotoma_fuscipes,0.19,71.30,3.5
Woodrat,Neotoma_albigula,0.17,61.40,3.5
Musk_rat,Ondatra_zibethicus,0.84,333.00,3.5
Pocket_mouse,Perognathus_longimembris,0.01,11.40,1.5
Mouse,Perognahtus_hispidus,0.04,23.80,2
Rodent,Peromyscus_eremicus,0.02,15.40,1.5
Rodent,Peromyscus_californicus,0.05,22.60,2.5
White-footed_mouse,Peromyscus_leucopus,0.02,26.80,1.5
Shrew,Sorex_caecutiens,0.00,15.00,0.8
Common_shrew,Sorex_araneus,0.01,17.60,0.8
Chinchilla,Chinchilla_laniger,0.49,112.00,8
Viscacha,Lagostomus_maximus,6.78,916.00,13
Rodent,Kerodon_rupestris,0.75,193.00,6
Guinea_pig,Cavia_porcellus,0.50,192.00,6
Marmot,Marmota_monax,2.65,320.00,10
Rat,Rattus_fuscipes,0.08,40.70,3
Rat,Rattus_lutreolus,0.11,30.50,3.5
Rat,Rattus_rattus,0.13,80.90,3.5
Rat,Rattus_sordidus,0.19,51.40,4
Cotton_rat,Sigmodon_hispidus,0.16,168.00,3
Brown_hare,Lepus_europaeus,2.50,528.00,8
Snowshoe_hare,Lepus_americanus,1.58,686.00,7
Jack_Rabbit,Lepus_californicus,2.30,623.00,8
Mountain_hare,Lepus_timidus,3.00,522.00,9
Hare,Lepus_alleni,3.36,730.00,9
Cottontail,Sulvilagus_audubonii,0.70,220.00,7
Pronghorn,Antilocapra_americana,32.00,4320.00,18
Camel,Camelus_dromedarius,407.00,23600.00,26
Asian_elephant,Elephas_maximum,3000.00,165000.00,54
Roe_deer,Capreolus_capreolus,19.00,3670.00,13
Red_deer,Cervus_elaphus,58.00,7800.00,18
Horse,Equus_cabalus,400.00,32000.00,40
Merino_sheep,Ovis_aries,49.00,4200.00,20
Sheep,Ovis_Canadensis,65.00,10700.00,20
Buffalo,Bubalus_caffer,420.00,29400.00,35
Chamois,Rupicapra_rupicapra,40.00,3140.00,21
Swine,Sus_scrofa,140.00,12000.00,15
Collored_peccary,Tayassu_tajacu,20.20,826.00,15
Otter,Lutra_lutra,10.00,2200.00,15
Wolverine,Gulogulo,12.70,2820.00,15
Badger,Meles_meles,11.10,1440.00,16
Sea_otter,Enhydra_lutris,40.00,12400.00,16
Fox,Vulpes_vulpes,5.01,1210.00,12
Coyote,canis_latrans,10.00,1320.00,18
Dog,Canis_familiaris,14.00,1880.00,18
Jaguar,Panthera_onca,18.00,2440.00,20
Cat,Felis_silvestris,3.00,546.00,11
Mink,Mustela_vis_on,0.66,239.00,8
Harbor_seal,Phoca_vitulina,26.00,7400.00,13
Beluga_whale,Delphinapterus_leucas,170.00,23000.00,25
Bottle-nosed_whale,Hyperoodon_ampullatus,1000.00,69500.00,40
Bat,Desmodus_rotundus,0.03,9.65,8
Bat,Vampyrops_lineatus,0.02,15.60,6
Ghost_bat,Macroderma_gigas,0.15,68.00,10
Molossid_bat,Eumops_per_otis,0.06,14.20,10
Fox_bat,Pteropus_policephalus,0.60,153.00,13
Chimpanzee,Pan_troglodytes,45.00,4620.00,40
Rhesus_monkey,Macaca_mulatta,5.00,960.00,25
Orangutan,Pongo_pygma_eus,150.00,15500.00,45
Gorilla,Gorilla_gorilla,250.00,21000.00,45
Gibbon,Hylobater_lar,8.00,1510.00,25
Man,Homo_sapiens,65.00,7560.00,75
