CASES,Type,Price
223.5,12,19.98
215,12,19.98
227.5,12,19.98
244.5,12,19.98
313.5,12,19.98
279,12,19.98
238,12,19.98
315.5,12,20.1
217,12,20.12
209.5,12,20.13
227,12,20.14
216.5,12,20.12
169,12,20.12
178,12,20.13
301.5,12,20.14
266.5,12,20.14
182.5,12,20.13
159,12,20.13
285.5,12,20.13
360,12,20.13
263,12,20.13
443.5,12,19.18
1101.5,12,14.78
814,12,16.04
365,12,20.12
510,12,19.75
580.5,12,19.65
251,12,19.69
237,12,20.12
302.5,12,20.12
229.5,12,20.13
188.5,12,20.14
795.5,12,15.14
1556.5,12,14.33
807.5,12,16.24
243,12,19.93
201.5,12,21.06
294,12,21.19
220.5,12,21.23
255.5,12,20.12
920.5,12,14.73
730,12,14.57
262.5,12,15.94
209.5,12,20.7
283,12,19.57
262.5,12,19.6
310,12,19.94
278.5,12,21.28
741.5,12,14.56
1316,12,14.39
449,12,16.81
505,12,19.86
439,18,14.1
98,18,18.65
70,18,18.65
52,18,18.65
64,18,18.65
72,18,18.65
47,18,18.65
85,18,18.73
59,18,18.75
63,18,18.75
57,18,18.75
54,18,18.75
404,18,13.87
380,18,14.27
65,18,18.76
40,18,18.77
456,18,13.87
176,18,14.14
61,18,18.76
91,18,18.72
59,18,18.76
83,18,18.76
41,18,18.74
47,18,18.75
84,18,18.75
85,18,18.75
116,18,18.75
544,18,13.79
890,18,13.49
371,18,14.89
557,18,13.94
775,18,13.67
236,18,14.43
43,18,18.75
63,18,18.22
469,18,14.06
335,18,14.43
75,18,19.48
461,18,15.15
817,18,13.79
200,18,14.31
32,18,19.5
460,18,13.85
751,18,14.23
70,18,19.31
80,18,19.29
523,18,13.76
741,18,13.45
130,18,15.13
69,18,19.43
493,18,13.26
814,18,13.92
55,30,15.19
66.75,30,15.19
242,30,13.87
488.5,30,12.83
308.75,30,13.16
111.75,30,15.19
252.5,30,13.92
221.25,30,14.42
245.25,30,13.83
148.5,30,14.5
229.75,30,13.87
312,30,13.64
96.75,30,14.31
123.25,30,13.85
200.5,30,14.2
359.75,30,13.64
113.5,30,14.33
136.5,30,13.14
225.5,30,13.81
122.25,30,15.19
443.75,30,13.13
322.75,30,13.63
53,30,15.19
140.75,30,13.89
210.75,30,14.28
110.5,30,15.19
568.25,30,13.12
115.5,30,13.78
58.75,30,15.19
77.25,30,15.19
66.25,30,15.19
50,30,15.19
46.5,30,15.19
65.75,30,15.19
252.75,30,13.14
179,30,13.45
226.25,30,13
288.5,30,13.6
114.25,30,14.46
70,30,14.94
47.75,30,15.19
98.75,30,15.19
77,30,15.19
160.5,30,13.43
143.5,30,14.37
133,30,15.19
68.75,30,15.19
81.75,30,15.19
56.25,30,15.19
68.75,30,15.19
49.25,30,15.19
76.5,30,15.19
